GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,3,106005,4252,1649500,0.0,1649000.0,222,20221231
1,1,1,3,106005,4261,2000000,0.0,1635583.9,223,20221231
1,1,1,3,106005,4264,3712500,750000.0,4311810.0,224,20221231
1,1,1,3,106005,4267,550000,0.0,400729.8,225,20221231
1,1,1,3,106005,4729,50000000,0.0,50000000.0,226,20221231
1,1,1,3,106005,4822,212000,6739294.0,6888293.6,227,20221231
1,1,1,3,106006,4111,389260300,0.0,389260300.0,228,20221231
1,1,1,3,106006,4112,76106000,0.0,76106000.0,229,20221231
1,1,1,3,106006,4113,35111300,0.0,35111300.0,230,20221231
1,1,1,3,106006,4212,12846300,-880000.0,9978435.9,231,20221231
1,1,1,3,106006,4213,206900,0.0,176144.5,232,20221231
1,1,1,3,106006,4214,6747000,0.0,3675601.5,233,20221231
1,1,1,3,106006,4215,160000,11000.0,171000.0,234,20221231
1,1,1,3,106006,4221,9293800,-2061000.0,5900000.0,235,20221231
1,1,1,3,106006,4232,1802000,0.0,1651000.0,236,20221231
1,1,1,3,106006,4233,0,280000.0,274000.0,237,20221231
1,1,1,3,106006,4234,200000,0.0,50000.0,238,20221231
1,1,1,3,106006,4235,14000000,0.0,13828600.0,239,20221231
1,1,1,3,106006,4237,300000,850000.0,1116000.0,240,20221231
1,1,1,3,106006,4239,0,368000.0,368000.0,241,20221231
1,1,1,3,106006,4241,1200000,-745000.0,454010.0,242,20221231
1,1,1,3,106006,4251,1000000,0.0,999985.0,243,20221231
1,1,1,3,106006,4252,1050000,145000.0,986000.0,244,20221231
1,1,1,3,106006,4261,1640000,0.0,1631340.0,245,20221231
1,1,1,3,106006,4264,4107300,682000.0,4739920.0,246,20221231
1,1,1,3,106006,4267,452200,0.0,452060.0,247,20221231
1,1,1,3,106006,4729,30000000,0.0,30000000.0,248,20221231
1,1,1,3,106006,4822,388000,0.0,309155.0,249,20221231
1,1,1,3,106007,4111,350513200,0.0,350513200.0,250,20221231
1,1,1,3,106007,4112,66918600,0.0,66918600.0,251,20221231
1,1,1,3,106007,4113,33228000,0.0,33228000.0,252,20221231
1,1,1,3,106007,4212,9738400,3000000.0,11970254.6,253,20221231
1,1,1,3,106007,4213,36300,300000.0,106985.1,254,20221231
1,1,1,3,106007,4214,4769400,-480000.0,2780025.9,255,20221231
1,1,1,3,106007,4215,160000,0.0,124000.0,256,20221231
1,1,1,3,106007,4216,12233300,0.0,12233300.0,257,20221231
1,1,1,3,106007,4221,7297500,-300000.0,5900000.0,258,20221231
1,1,1,3,106007,4232,2593000,0.0,2008000.0,259,20221231
1,1,1,3,106007,4233,0,480000.0,480000.0,260,20221231
1,1,1,3,106007,4234,160000,0.0,120000.0,261,20221231
1,1,1,3,106007,4235,17000000,-3000000.0,10050000.0,262,20221231
1,1,1,3,106007,4237,300000,0.0,299920.0,263,20221231
1,1,1,3,106007,4239,450000,0.0,449550.0,264,20221231
1,1,1,3,106007,4252,1012000,0.0,1012000.0,265,20221231
1,1,1,3,106007,4261,1166000,0.0,1049237.9,266,20221231
1,1,1,3,106007,4264,4150000,0.0,4146800.0,267,20221231
1,1,1,3,106007,4267,452200,0.0,452140.0,268,20221231
1,1,1,3,106007,4729,30000000,0.0,30000000.0,269,20221231
1,1,1,3,106007,4822,421100,0.0,415775.0,270,20221231
1,1,1,3,106008,4111,422977500,4372600.0,427350100.0,271,20221231
1,1,1,3,106008,4112,81608100,0.0,81608100.0,272,20221231
1,1,1,3,106008,4113,39242600,0.0,39242600.0,273,20221231
1,1,1,3,106008,4212,14174700,-4735300.0,9401915.7,274,20221231
1,1,1,3,106008,4213,240500,203300.0,425053.3,275,20221231
1,1,1,3,106008,4214,5751300,-2261000.0,3083391.3,276,20221231
1,1,1,3,106008,4215,160000,26000.0,186000.0,277,20221231
1,1,1,3,106008,4221,3580600,-550000.0,3030600.0,278,20221231
1,1,1,3,106008,4232,2630000,-13000.0,2616700.0,279,20221231
1,1,1,3,106008,4233,0,506000.0,506000.0,280,20221231
1,1,1,3,106008,4234,200000,-200000.0,0.0,281,20221231
1,1,1,3,106008,4235,15900000,-6540000.0,9360000.0,282,20221231
1,1,1,3,106008,4237,300000,0.0,299650.0,283,20221231
1,1,1,3,106008,4241,60000,0.0,59000.0,284,20221231
1,1,1,3,106008,4252,947000,360000.0,1307000.0,285,20221231
1,1,1,3,106008,4261,1489100,-126000.0,1279081.0,286,20221231
1,1,1,3,106008,4264,4123000,1188000.0,4502385.4,287,20221231
1,1,1,3,106008,4267,549800,-159000.0,388510.0,288,20221231
1,1,1,3,106008,4729,30000000,0.0,30000000.0,289,20221231
1,1,1,3,106008,4822,364000,272000.0,614275.0,290,20221231
1,1,1,3,106008,4851,0,7656400.0,7656400.0,291,20221231
1,1,1,3,106009,4111,364742500,-600000.0,364142500.0,292,20221231
1,1,1,3,106009,4112,77242400,0.0,77242400.0,293,20221231
1,1,1,3,106009,4113,26969800,0.0,26969800.0,294,20221231
1,1,1,3,106009,4212,9855600,-2099000.0,6628761.6,295,20221231
1,1,1,3,106009,4213,265400,465000.0,715625.6,296,20221231
1,1,1,3,106009,4214,4313200,-1600000.0,1830261.6,297,20221231
1,1,1,3,106009,4215,160000,185420.0,329000.0,298,20221231
1,1,1,3,106009,4221,9578400,-513000.0,8828500.0,299,20221231
1,1,1,3,106009,4232,3067000,0.0,2828000.0,300,20221231
1,1,1,3,106009,4234,400000,0.0,352280.0,301,20221231
1,1,1,3,106009,4237,300000,0.0,300000.0,302,20221231
1,1,1,3,106009,4239,200000,0.0,200000.0,303,20221231
1,1,1,3,106009,4241,9102600,528000.0,8806033.0,304,20221231
1,1,1,3,106009,4252,2361000,1253580.0,3195600.0,305,20221231
1,1,1,3,106009,4261,1794000,-400000.0,1333704.0,306,20221231
1,1,1,3,106009,4264,3150000,0.0,3090499.6,307,20221231
1,1,1,3,106009,4267,469200,0.0,468435.0,308,20221231
1,1,1,3,106009,4729,30000000,0.0,30000000.0,309,20221231
1,1,1,3,106009,4822,299000,180000.0,470083.0,310,20221231
1,1,1,3,106010,4111,271845700,0.0,271845700.0,311,20221231
1,1,1,3,106010,4112,54795000,0.0,54795000.0,312,20221231
1,1,1,3,106010,4113,22875200,0.0,22875200.0,313,20221231
1,1,1,3,106010,4212,6385400,-150000.0,6061940.8,314,20221231
1,1,1,3,106010,4213,135800,210000.0,331101.2,315,20221231
1,1,1,3,106010,4214,5078600,-2052600.0,2941248.3,316,20221231
1,1,1,3,106010,4215,160000,0.0,127000.0,317,20221231
1,1,1,3,106010,4221,4409200,-3014700.0,1394500.0,318,20221231
1,1,1,3,106010,4232,5304000,-3200000.0,1919000.0,319,20221231
1,1,1,3,106010,4233,170000,0.0,154000.0,320,20221231
1,1,1,3,106010,4234,200000,0.0,54000.0,321,20221231
1,1,1,3,106010,4235,8280000,0.0,8279000.0,322,20221231
1,1,1,3,106010,4237,300000,0.0,300000.0,323,20221231
1,1,1,3,106010,4239,100000,0.0,100000.0,324,20221231
1,1,1,3,106010,4241,429700,0.0,429300.0,325,20221231
1,1,1,3,106010,4252,1061700,0.0,1061500.0,326,20221231
1,1,1,3,106010,4261,1183000,0.0,1149852.0,327,20221231
1,1,1,3,106010,4264,3979400,1300000.0,4923508.9,328,20221231
1,1,1,3,106010,4267,309400,0.0,300880.0,329,20221231
1,1,1,3,106010,4729,30000000,0.0,30000000.0,330,20221231
1,1,1,3,106010,4822,269600,0.0,151300.0,331,20221231
1,1,1,3,106011,4111,308324200,0.0,308324200.0,332,20221231
1,1,1,3,106011,4112,59463800,0.0,59462714.0,333,20221231
1,1,1,3,106011,4113,28628900,-3728600.0,24900213.0,334,20221231
1,1,1,3,106011,4212,7372200,0.0,4358119.6,335,20221231
1,1,1,3,106011,4213,161400,0.0,100892.7,336,20221231
1,1,1,3,106011,4214,4355400,0.0,1495073.5,337,20221231
1,1,1,3,106011,4215,160000,0.0,160000.0,338,20221231
1,1,1,3,106011,4221,6100000,-2481400.0,3618600.0,339,20221231
1,1,1,3,106011,4232,1739000,0.0,1671000.0,340,20221231
1,1,1,3,106011,4233,250000,-75000.0,130000.0,341,20221231
1,1,1,3,106011,4234,300000,0.0,0.0,342,20221231
1,1,1,3,106011,4235,10000000,0.0,9990000.0,343,20221231
1,1,1,3,106011,4237,300000,130000.0,430000.0,344,20221231
1,1,1,3,106011,4239,350000,0.0,350000.0,345,20221231
1,1,1,3,106011,4241,50000,355000.0,405000.0,346,20221231
1,1,1,3,106011,4251,1000000,0.0,979562.0,347,20221231
1,1,1,3,106011,4252,2333000,1460000.0,3790400.0,348,20221231
1,1,1,3,106011,4261,1144000,75000.0,1210261.6,349,20221231
1,1,1,3,106011,4264,3400000,1416400.0,4779396.0,350,20221231
1,1,1,3,106011,4267,500000,0.0,499950.0,351,20221231
1,1,1,3,106011,4729,80000000,-880000.0,79120000.0,352,20221231
1,1,1,3,106011,4822,230300,0.0,219085.0,353,20221231
1,1,1,38,104001,4237,0,1034000.0,321330.0,354,20221231
1,1,1,38,104001,4822,0,0.0,0.0,355,20221231
1,1,1,31,105020,5134,0,2000000.0,1978000.0,356,20221231
1,1,1,4,105034,4112,0,16175600.0,16175600.0,357,20221231
1,1,1,4,105034,4221,0,0.0,0.0,358,20221231
1,1,1,4,105034,4861,17615600,-17615600.0,0.0,359,20221231
1,1,1,4,105034,5121,0,1440000.0,1440000.0,360,20221231
1,1,1,5,101002,5122,72900000,31000000.0,103426928.6,361,20221231
1,1,1,6,101001,5122,3762500,20000000.0,23126900.0,362,20221231
1,1,1,6,101003,5122,25000000,89816300.0,112350705.0,363,20221231
1,1,1,6,104001,5122,0,13560600.0,11909988.6,364,20221231
1,1,1,6,104001,5132,0,25310000.0,25309950.0,365,20221231
1,1,1,6,104003,5122,0,17192500.0,16719854.0,366,20221231
1,1,1,6,104003,5129,0,2660500.0,2155000.0,367,20221231
1,1,1,6,106006,5122,1500000,0.0,1466120.0,368,20221231
1,1,1,6,106009,5122,3000000,0.0,2999916.0,369,20221231
1,1,1,7,101003,4111,213426000,0.0,185927500.0,370,20221231
1,1,1,7,101003,4112,48191400,14000000.0,62191400.0,371,20221231
1,1,1,7,101003,4113,12787500,0.0,12787500.0,372,20221231
1,1,1,7,101003,4212,5487500,0.0,3029813.4,373,20221231
1,1,1,7,101003,4213,105000,0.0,59759.9,374,20221231
1,1,1,7,101003,4214,2221200,-500000.0,909637.0,375,20221231
1,1,1,7,101003,4215,160000,-115000.0,0.0,376,20221231
1,1,1,7,101003,4221,7500000,-1132000.0,4400000.0,377,20221231
1,1,1,7,101003,4232,2456000,-1000000.0,576000.0,378,20221231
1,1,1,7,101003,4233,0,11376.0,11376.0,379,20221231
1,1,1,7,101003,4234,100000,-11376.0,0.0,380,20221231
1,1,1,7,101003,4237,300000,0.0,297350.0,381,20221231
1,1,1,7,101003,4239,120000,0.0,0.0,382,20221231
1,1,1,7,101003,4251,7460000,0.0,2432713.0,383,20221231
1,1,1,7,101003,4252,1200000,1600000.0,2728827.7,384,20221231
1,1,1,7,101003,4261,837200,0.0,679173.6,385,20221231
1,1,1,7,101003,4264,3826800,0.0,3321407.5,386,20221231
1,1,1,7,101003,4267,282400,0.0,207316.8,387,20221231
1,1,1,7,101003,4822,44000,0.0,40600.0,388,20221231
1,1,1,8,104003,4111,32781100,0.0,32781100.0,389,20221231
1,1,1,8,104003,4112,7065000,0.0,7065000.0,390,20221231
1,1,1,8,104003,4113,2301100,0.0,2301100.0,391,20221231
1,1,1,9,104003,4111,61428800,-61428800.0,0.0,392,20221231
1,1,1,9,104003,4221,0,0.0,0.0,393,20221231
1,1,1,9,104003,4237,6151900,-6151900.0,0.0,394,20221231
1,1,1,9,104003,4822,0,0.0,0.0,395,20221231
1,1,1,10,101003,4111,597661700,-5154200.0,562507500.0,396,20221231
1,1,1,10,101003,4112,124228500,-2643500.0,121585000.0,397,20221231
1,1,1,10,101003,4113,46531900,0.0,46531900.0,398,20221231
1,1,1,10,101003,4212,12092900,-4360500.0,5932874.2,399,20221231
1,1,1,10,101003,4213,278900,-47400.0,0.0,400,20221231
