CONTID,CONTRACT,FILENAME,FILENAMEBC
2099,339553001,39259303-Gegarquniq_kic_2017.rar;39383814-GavariBk.rar;39219863-Gegarquniq_kic_2017.rar;41369243-SignedGavari_BK_verabaxshum_hemodializ.zip,40681194-00280000_222_6_A_signed_signed.pdf;41402907-00280000-222-9-A_signed_signed.pdf;41817106-0028.pdf;41684698-0028-.pdf;41128529-00280000-222-7-A_signed_signed.pdf;41128576-00280000-222-8-A_signed.pdf
2099,340429001,39223082-Tavush kic 2017.rar;39439734-Noyemberyani BK.rar;41216745-signed-Noyemberyani BK dializ.zip,41816793-222.pdf;40886802-tmp5090653794263034161.pdf;41130978-0372-222_signed.pdf;41721965-222.pdf;40689504-222_signed_signed.pdf;41363956-0372-222_signed_signed.pdf;40886798-0372-222_signed_signed.pdf;40454230--222_signed_signed.pdf
2099,341523001,39228707-Syuniq_kic.zip;39427896-Kapan.part1.rar;39427896-Kapan.part2.rar;39427896-Kapan.part3.rar;41207189-Signed-KAPAN_DI.zip,41113680-222 00260000_signed_signed.pdf;41694136-a222.pdf;40858978-222 00260000_signed_signed.pdf;41806576-222.pdf;41356702-222 00260000_signed.pdf
2099,341524001,39228653-Syuniq_kic.zip;39428859-Goris.part1.rar;39428859-Goris.part2.rar;39428859-Goris.part3.rar;41207305-Signed-GORIS_DI.zip,40860150-0329-222_signed_signed.pdf;41696764-a222.pdf;40656840-0329-222_signed_signed.pdf;41358645-0329-222_signed_signed.pdf;41118712-0329-222_signed_signed.pdf;41812402-222.pdf
2100,338416001,39216340-Armavir.rar;39393415-Edzmiatsni_BK.rar;41547975-0019.pdf,41670278-0019-2.pdf;41779116-0019-2.pdf;40873350-0019-arcanagrutyun-223_signed.pdf;40652064-0019-arcanagrutyun-223.pdf;41377154-0019-arcanagrutyun-223.pdf;41104978-0019-arcanagrutyun-223.pdf
2100,338425001,39221468-Shirak_kic_njuter.rar;39373132-0243.rar;41563157-Cnndatun.pdf,40652616-0243- 223_signed_signed.pdf;40873320-0243-223_signed_signed.pdf;41368260-0243-223_signed_signed.pdf;41101896-0243-223_signed_signed.pdf;41664771-223.pdf;41786834-223.pdf
2100,338430001,39221471-Shirak_kic_njuter.rar;39373152-0317.rar;41563158-Avstriakan.pdf,40873575-0317-223_signed.pdf;41368660-0317-223_signed.pdf;41665056-223.pdf;41774662-223.pdf;41102701-0317-223_signed.pdf
2100,338433001,39221473-Shirak_kic_njuter.rar;39373160-0287.rar;41563159-pol1.pdf,40643511-02870000arcanagrutyun 2017-223_signed_signed.pdf;41103509-02870000arcanagrutyun 2017-223 (2)_signed_signed.pdf;40874706-02870000arcanagrutyun 2017-223 (1)_signed_signed.pdf;41665468-223.pdf;41778886-223.pdf;41369801-02870000arcanagrutyun 2017-223_signed_signed.pdf
2100,338436001,39221480-Shirak_kic_njuter.rar;39373176-0312.rar;39828617-Signed_2-rd_poliklinika_signed.pdf;41563160-tiv2pol.pdf,41103152-0312-223_signed_signed.pdf;41369925-0312-223_signed_signed.pdf;40647054-0312-223_signed_signed.pdf;40874749-0312-223_signed_signed.pdf;41665345-223.pdf;41775764-223.pdf
2100,338437001,39221486-Shirak_kic_njuter.rar;39373188-0301.rar;41563164-Yntanekan.pdf,41370212-0301-223  arcanagrutyun_signed_signed.pdf;40874795-0301-223_signed.pdf;41103287-0301-223  arcanagrutyun_signed_signed.pdf;40643528-0301-223 _signed_signed.pdf;41665613-223.pdf;41775885-223.pdf
